source.name	sequenceID	m49_country.id	m49_country.display_name	gb_place_sampled	collection_year	earliest_collection_year	latest_collection_year	gb_length	gb_create_date	gb_update_date	host	gb_pubmed_id	isolate	coverage
ncbi-curated	PP965360	PER	Peru	-	2019	2019	2019	11874	08-Jul-2024	08-Jul-2024	Canis familiaris	-	121_2019_illumina	0.9951391216895743
ncbi-curated	PP965361	PER	Peru	-	2022	2022	2022	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	145_2022_aqp14	0.9914515588333892
ncbi-curated	PP965362	PER	Peru	-	2022	2022	2022	11834	08-Jul-2024	08-Jul-2024	Canis familiaris	-	182_2019_illumina	0.9917867918203152
ncbi-curated	PP965363	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	250_2021_aqp12	0.9914515588333892
ncbi-curated	PP965364	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	107_2021_aqp12	0.9914515588333892
ncbi-curated	PP965365	PER	Peru	-	2022	2022	2022	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	147_2022_aqp14	0.9914515588333892
ncbi-curated	PP965366	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	126_2021_aqp14	0.9914515588333892
ncbi-curated	PP965367	PER	Peru	-	2018	2018	2018	11869	08-Jul-2024	08-Jul-2024	Canis familiaris	-	107_2018_illumina	0.9947200804559169
ncbi-curated	PP965368	PER	Peru	-	2023	2023	2023	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	173_2023_aqp14	0.9914515588333892
ncbi-curated	PP965369	PER	Peru	-	2022	2022	2022	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	158_2022_aqp14	0.9914515588333892
ncbi-curated	PP965370	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	73_2021_aqp12	0.9914515588333892
ncbi-curated	PP965371	PER	Peru	-	2022	2022	2022	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	172_2022_aqp14	0.9914515588333892
ncbi-curated	PP965372	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	90_2021_aqp14	0.9914515588333892
ncbi-curated	PP965373	PER	Peru	-	2011	2011	2011	11922	08-Jul-2024	08-Jul-2024	Bos taurus	-	1101786_meta-illumina	0.9991619175326852
ncbi-curated	PP965374	PER	Peru	-	2021	2021	2021	11830	08-Jul-2024	08-Jul-2024	Canis familiaris	-	231_2021_aqp14	0.9914515588333892
ncbi-curated	PP764242	GUF	French Guiana	Maripasoula (site Eau Claire)	2024	2024	2024	11922	22-May-2024	22-May-2024	Homo sapiens	-	2024_6_10_RABV_GUY	0.9991619175326852
ncbi-curated	OP007154	BRA	Brazil	-	2018	2018	2018	11849	27-Mar-2024	27-Mar-2024	Callithrix sp.	-	46702	0.9930439155212873
ncbi-curated	OP007155	BRA	Brazil	-	2019	2019	2019	11827	27-Mar-2024	27-Mar-2024	Artibeus lituratus	-	48296	0.9912001340931947
ncbi-curated	OP007156	BRA	Brazil	-	2019	2019	2019	11850	27-Mar-2024	27-Mar-2024	Molossus molossus	-	48433	0.9931277237680187
ncbi-curated	OP007157	BRA	Brazil	-	2019	2019	2019	11809	27-Mar-2024	27-Mar-2024	Artibeus lituratus	-	48551	0.9896915856520282
ncbi-curated	OP007158	BRA	Brazil	-	2021	2021	2021	11886	27-Mar-2024	27-Mar-2024	Molossus molossus	-	49261	0.996144820650352
ncbi-curated	OP007159	BRA	Brazil	-	2021	2021	2021	11808	27-Mar-2024	27-Mar-2024	Artibeus lituratus	-	49288	0.9896077774052967
ncbi-curated	ON630441	PER	Peru	-	2001	2001	2001	11572	07-Feb-2023	14-Feb-2023	Sus scrofa domesticus	-	0038@2001	0.9698290311766677
ncbi-curated	ON630442	PER	Peru	-	2000	2000	2000	11860	07-Feb-2023	14-Feb-2023	Bos taurus	-	0059@2000	0.9939658062353336
ncbi-curated	ON630443	PER	Peru	-	2001	2001	2001	11572	07-Feb-2023	14-Feb-2023	Bos taurus	-	0066@2001	0.9698290311766677
ncbi-curated	ON630444	PER	Peru	-	2001	2001	2001	11423	07-Feb-2023	14-Feb-2023	Bos taurus	-	0085@2001	0.9573416024136775
ncbi-curated	ON630445	PER	Peru	-	2010	2010	2010	11877	07-Feb-2023	14-Feb-2023	Bos taurus	-	201009755	0.9953905464297687
ncbi-curated	ON630446	PER	Peru	-	-	-	2023	11881	07-Feb-2023	14-Feb-2023	Bos taurus	-	0240@2009	0.9957257794166946
ncbi-curated	ON630447	PER	Peru	-	1998	1998	1998	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	0255@1998	0.9958933959101576
ncbi-curated	ON630448	PER	Peru	-	2010	2010	2010	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201000420	0.9958933959101576
ncbi-curated	ON630449	PER	Peru	-	1999	1999	1999	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	0395@1999	0.9958933959101576
ncbi-curated	ON630450	PER	Peru	-	2010	2010	2010	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201000589	0.9958933959101576
ncbi-curated	ON630451	PER	Peru	-	2010	2010	2010	11860	07-Feb-2023	14-Feb-2023	Bos taurus	-	201000746	0.9939658062353336
ncbi-curated	ON630452	PER	Peru	-	2009	2009	2009	11855	07-Feb-2023	14-Feb-2023	Bos taurus	-	200900872	0.9935467650016762
ncbi-curated	ON630453	PER	Peru	-	2010	2010	2010	11853	07-Feb-2023	14-Feb-2023	Bos taurus	-	201000890	0.9933791485082132
ncbi-curated	ON630454	PER	Peru	-	2010	2010	2010	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201000943	0.9958933959101576
ncbi-curated	ON630455	PER	Peru	-	1997	1997	1997	11860	07-Feb-2023	14-Feb-2023	Bos taurus	-	0717@1997	0.9939658062353336
ncbi-curated	ON630456	PER	Peru	-	2009	2009	2009	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	200901167	0.9958933959101576
ncbi-curated	ON630457	PER	Peru	-	1998	1998	1998	11860	07-Feb-2023	14-Feb-2023	Bos taurus	-	0865@1998	0.9939658062353336
ncbi-curated	ON630458	PER	Peru	-	2015	2015	2015	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201506889	0.9958933959101576
ncbi-curated	ON630459	PER	Peru	-	2015	2015	2015	11877	07-Feb-2023	14-Feb-2023	Bos taurus	-	201504506	0.9953905464297687
ncbi-curated	ON630460	PER	Peru	-	2015	2015	2015	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201504106	0.9958933959101576
ncbi-curated	ON630461	PER	Peru	-	2009	2009	2009	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	200901552	0.9958933959101576
ncbi-curated	ON630462	PER	Peru	-	2015	2015	2015	11855	07-Feb-2023	14-Feb-2023	Bos taurus	-	201505298	0.9935467650016762
ncbi-curated	ON630463	PER	Peru	-	2004	2004	2004	11883	07-Feb-2023	14-Feb-2023	equino	-	1114@2004	0.9958933959101576
ncbi-curated	ON630464	PER	Peru	-	2015	2015	2015	11877	07-Feb-2023	14-Feb-2023	Bos taurus	-	201503776	0.9953905464297687
ncbi-curated	ON630465	PER	Peru	-	2004	2004	2004	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	1149@2004	0.9958933959101576
ncbi-curated	ON630466	PER	Peru	-	2015	2015	2015	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201504237	0.9958933959101576
ncbi-curated	ON630467	PER	Peru	-	2015	2015	2015	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201504101	0.9958933959101576
ncbi-curated	ON630468	PER	Peru	-	2015	2015	2015	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201506079	0.9958933959101576
ncbi-curated	ON630469	PER	Peru	-	2004	2004	2004	11860	07-Feb-2023	14-Feb-2023	Bos taurus	-	1205@2004	0.9939658062353336
ncbi-curated	ON630470	PER	Peru	-	2015	2015	2015	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201504725	0.9958933959101576
ncbi-curated	ON630471	PER	Peru	-	2015	2015	2015	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201504536	0.9958933959101576
ncbi-curated	ON630472	PER	Peru	-	2001	2001	2001	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	121@2001	0.9958933959101576
ncbi-curated	ON630473	PER	Peru	-	2015	2015	2015	11876	07-Feb-2023	14-Feb-2023	Bos taurus	-	201503933	0.9953067381830372
ncbi-curated	ON630474	PER	Peru	-	2004	2004	2004	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	1232@2004	0.9958933959101576
ncbi-curated	ON630475	PER	Peru	-	2000	2000	2000	11838	07-Feb-2023	14-Feb-2023	Bos taurus	-	1254@2000	0.992122024807241
ncbi-curated	ON630476	PER	Peru	-	2000	2000	2000	11883	07-Feb-2023	14-Feb-2023	Ovis aries	-	1255@2000	0.9958933959101576
ncbi-curated	ON630477	PER	Peru	-	2009	2009	2009	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	200901937	0.9958933959101576
ncbi-curated	ON630478	PER	Peru	-	2015	2015	2015	11849	07-Feb-2023	14-Feb-2023	Bos taurus	-	201508297	0.9930439155212873
ncbi-curated	ON630479	PER	Peru	-	2015	2015	2015	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201508393	0.9958933959101576
ncbi-curated	ON630480	PER	Peru	-	2009	2009	2009	11860	07-Feb-2023	14-Feb-2023	Bos taurus	-	200901828	0.9939658062353336
ncbi-curated	ON630481	PER	Peru	-	2015	2015	2015	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201508417	0.9958933959101576
ncbi-curated	ON630482	PER	Peru	-	2004	2004	2004	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	1291@2004	0.9958933959101576
ncbi-curated	ON630483	PER	Peru	-	2015	2015	2015	11832	07-Feb-2023	14-Feb-2023	Bos taurus	-	201509007	0.9916191753268522
ncbi-curated	ON630484	PER	Peru	-	2015	2015	2015	11596	07-Feb-2023	14-Feb-2023	Bos taurus	-	201510309	0.9718404290982232
ncbi-curated	ON630485	PER	Peru	-	2015	2015	2015	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201510107	0.9958933959101576
ncbi-curated	ON630486	PER	Peru	-	2004	2004	2004	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	1386@2004	0.9958933959101576
ncbi-curated	ON630487	PER	Peru	-	2013	2013	2013	11877	07-Feb-2023	14-Feb-2023	Bos taurus	-	201303958	0.9953905464297687
ncbi-curated	ON630488	PER	Peru	-	2010	2010	2010	11860	07-Feb-2023	14-Feb-2023	Bos taurus	-	201000189	0.9939658062353336
ncbi-curated	ON630489	PER	Peru	-	2001	2001	2001	11832	07-Feb-2023	14-Feb-2023	Bos taurus	-	142@2001	0.9916191753268522
ncbi-curated	ON630490	PER	Peru	-	2004	2004	2004	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	1447@2004	0.9958933959101576
ncbi-curated	ON630491	PER	Peru	-	2004	2004	2004	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	1459@2004	0.9958933959101576
ncbi-curated	ON630492	PER	Peru	-	2001	2001	2001	11877	07-Feb-2023	14-Feb-2023	Bos taurus	-	146@2001	0.9953905464297687
ncbi-curated	ON630493	PER	Peru	-	2004	2004	2004	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	1469@2004	0.9958933959101576
ncbi-curated	ON630494	PER	Peru	-	2010	2010	2010	11860	07-Feb-2023	14-Feb-2023	Bos taurus	-	201002275	0.9939658062353336
ncbi-curated	ON630495	PER	Peru	-	2010	2010	2010	11877	07-Feb-2023	14-Feb-2023	Bos taurus	-	201002248	0.9953905464297687
ncbi-curated	ON630496	PER	Peru	-	2010	2010	2010	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201002273	0.9958933959101576
ncbi-curated	ON630497	PER	Peru	-	2015	2015	2015	11873	07-Feb-2023	14-Feb-2023	Bos taurus	-	201503949	0.9950553134428428
ncbi-curated	ON630498	PER	Peru	-	2004	2004	2004	11876	07-Feb-2023	14-Feb-2023	Bos taurus	-	1521@2004	0.9953067381830372
ncbi-curated	ON630499	PER	Peru	-	2013	2013	2013	11594	07-Feb-2023	14-Feb-2023	Bos taurus	-	201303164	0.9716728126047603
ncbi-curated	ON630500	PER	Peru	-	2010	2010	2010	11841	07-Feb-2023	14-Feb-2023	Bos taurus	-	201002580	0.9923734495474354
ncbi-curated	ON630501	PER	Peru	-	2010	2010	2010	11860	07-Feb-2023	14-Feb-2023	Bos taurus	-	201002581	0.9939658062353336
ncbi-curated	ON630502	PER	Peru	-	2010	2010	2010	11860	07-Feb-2023	14-Feb-2023	Bos taurus	-	201002634	0.9939658062353336
ncbi-curated	ON630503	PER	Peru	-	2015	2015	2015	11877	07-Feb-2023	14-Feb-2023	Bos taurus	-	201508184	0.9953905464297687
ncbi-curated	ON630504	PER	Peru	-	2015	2015	2015	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201510428	0.9958933959101576
ncbi-curated	ON630505	PER	Peru	-	2010	2010	2010	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201002831	0.9958933959101576
ncbi-curated	ON630506	PER	Peru	-	2015	2015	2015	11564	07-Feb-2023	14-Feb-2023	Bos taurus	-	201507245	0.969158565202816
ncbi-curated	ON630507	PER	Peru	-	2015	2015	2015	11877	07-Feb-2023	14-Feb-2023	Bos taurus	-	201510429	0.9953905464297687
ncbi-curated	ON630508	PER	Peru	-	2010	2010	2010	11860	07-Feb-2023	14-Feb-2023	Bos taurus	-	201002887	0.9939658062353336
ncbi-curated	ON630509	PER	Peru	-	2004	2004	2004	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	1825@2004	0.9958933959101576
ncbi-curated	ON630510	PER	Peru	-	2010	2010	2010	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201002897	0.9958933959101576
ncbi-curated	ON630511	PER	Peru	-	2010	2010	2010	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201002904	0.9958933959101576
ncbi-curated	ON630512	PER	Peru	-	2009	2009	2009	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	200904003	0.9958933959101576
ncbi-curated	ON630513	PER	Peru	-	2013	2013	2013	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201304783	0.9958933959101576
ncbi-curated	ON630514	PER	Peru	-	2013	2013	2013	11860	07-Feb-2023	14-Feb-2023	Bos taurus	-	201306274	0.9939658062353336
ncbi-curated	ON630515	PER	Peru	-	2013	2013	2013	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201305768	0.9958933959101576
ncbi-curated	ON630516	PER	Peru	-	2010	2010	2010	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201002976	0.9958933959101576
ncbi-curated	ON630517	PER	Peru	-	2015	2015	2015	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201508304	0.9958933959101576
ncbi-curated	ON630518	PER	Peru	-	2013	2013	2013	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201305291	0.9958933959101576
ncbi-curated	ON630519	PER	Peru	-	2013	2013	2013	11877	07-Feb-2023	14-Feb-2023	Bos taurus	-	201305569	0.9953905464297687
ncbi-curated	ON630520	PER	Peru	-	2010	2010	2010	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201003038	0.9958933959101576
ncbi-curated	ON630521	PER	Peru	-	2010	2010	2010	11855	07-Feb-2023	14-Feb-2023	Bos taurus	-	201003043	0.9935467650016762
ncbi-curated	ON630522	PER	Peru	-	2010	2010	2010	11878	07-Feb-2023	14-Feb-2023	Bos taurus	-	201003044	0.9954743546765001
ncbi-curated	ON630523	PER	Peru	-	2010	2010	2010	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	1935@2010	0.9958933959101576
ncbi-curated	ON630524	PER	Peru	-	2010	2010	2010	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201003046	0.9958933959101576
ncbi-curated	ON630525	PER	Peru	-	2013	2013	2013	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201305685	0.9958933959101576
ncbi-curated	ON630526	PER	Peru	-	2010	2010	2010	11860	07-Feb-2023	14-Feb-2023	Bos taurus	-	201003075	0.9939658062353336
ncbi-curated	ON630527	PER	Peru	-	2014	2014	2014	11877	07-Feb-2023	14-Feb-2023	Bos taurus	-	201400595	0.9953905464297687
ncbi-curated	ON630528	PER	Peru	-	2014	2014	2014	11860	07-Feb-2023	14-Feb-2023	Bos taurus	-	201400591	0.9939658062353336
ncbi-curated	ON630529	PER	Peru	-	2015	2015	2015	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201508309	0.9958933959101576
ncbi-curated	ON630530	PER	Peru	-	2013	2013	2013	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201304261	0.9958933959101576
ncbi-curated	ON630531	PER	Peru	-	2014	2014	2014	11881	07-Feb-2023	14-Feb-2023	Bos taurus	-	201400778	0.9957257794166946
ncbi-curated	ON630532	PER	Peru	-	2011	2011	2011	11860	07-Feb-2023	14-Feb-2023	Bos taurus	-	201100592	0.9939658062353336
ncbi-curated	ON630533	PER	Peru	-	2011	2011	2011	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201100594	0.9958933959101576
ncbi-curated	ON630534	PER	Peru	-	2011	2011	2011	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201101081	0.9958933959101576
ncbi-curated	ON630535	PER	Peru	-	2011	2011	2011	11877	07-Feb-2023	14-Feb-2023	Bos taurus	-	201101277	0.9953905464297687
ncbi-curated	ON630536	PER	Peru	-	2011	2011	2011	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201101278	0.9958933959101576
ncbi-curated	ON630537	PER	Peru	-	2011	2011	2011	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201101320	0.9958933959101576
ncbi-curated	ON630538	PER	Peru	-	2011	2011	2011	11596	07-Feb-2023	14-Feb-2023	Bos taurus	-	201101596	0.9718404290982232
ncbi-curated	ON630539	PER	Peru	-	2011	2011	2011	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201101597	0.9958933959101576
ncbi-curated	ON630540	PER	Peru	-	2011	2011	2011	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201101598	0.9958933959101576
ncbi-curated	ON630541	PER	Peru	-	2011	2011	2011	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201101650	0.9958933959101576
ncbi-curated	ON630542	PER	Peru	-	2011	2011	2011	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201101947	0.9958933959101576
ncbi-curated	ON630543	PER	Peru	-	2011	2011	2011	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201101948	0.9958933959101576
ncbi-curated	ON630544	PER	Peru	-	2011	2011	2011	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201101951	0.9958933959101576
ncbi-curated	ON630545	PER	Peru	-	2011	2011	2011	11852	07-Feb-2023	14-Feb-2023	Bos taurus	-	201101952	0.9932953402614817
ncbi-curated	ON630546	PER	Peru	-	2011	2011	2011	11883	07-Feb-2023	14-Feb-2023	Bos taurus	-	201101953	0.9958933959101576
ncbi-curated	ON630547	PER	Peru	-	2011	2011	2011	11877	07-Feb-2023	14-Feb-2023	Bos taurus	-	201102106	0.9953905464297687
