sample_id,case_regional,district,locality,lon,lat,species,group_area,group_river,group_geo,group_district
333_2018,Caso033,CERRO COLORADO,CIUDAD MUNICIPAL SECTOR 2,-71.59501,-16.324383,DOG,urban,north,B,ccolorado
91_2017,Caso009,CERRO COLORADO,CIUDAD MUNICIPAL,-71.59476446,-16.32382748,DOG,urban,north,B,ccolorado
480_2016,NA,CERRO COLORADO,JLBYR SECTOR III,-71.59438684,-16.33264008,DOG,urban,north,B,ccolorado
44_2016,6,CERRO COLORADO,VILLA CANTERAS,-71.59056757,-16.33157566,DOG,urban,north,B,ccolorado
534_2016,NA,CERRO COLORADO,NUEVA AREQUIPA,-71.58992556,-16.33837193,DOG,urban,north,B,ccolorado
357_2016,NA,CERRO COLORADO,CIUDAD MUNICIPAL,-71.58736745,-16.32286847,DOG,urban,north,B,ccolorado
201_2017,Caso024,CERRO COLORADO,VILLA SAN JUAN,-71.58628937,-16.33794879,DOG,urban,north,B,ccolorado
186_2018,Caso024,CERRO COLORADO,NA,-71.58366,-16.31917,DOG,periurban,north,B,ccolorado
112_2017,Caso017,CERRO COLORADO,CIUDAD MUNICIPAL,-71.58305839,-16.32612939,CAT,urban,north,B,ccolorado
562_2016,NA,CERRO COLORADO,MERCADO MAYORISTA,-71.58302859,-16.32566277,DOG,urban,north,B,ccolorado
130_2016,13,CERRO COLORADO,VILLA CERRILLOS,-71.5827859,-16.31652235,DOG,periurban,north,B,ccolorado
12_2017,Caso003,CERRO COLORADO,VIA EVITAMIENTO,-71.5816,-16.348183,DOG,urban,north,B,ccolorado
563_2016,NA,CERRO COLORADO,SANTA ISABEL ZONA II,-71.58124094,-16.33749293,DOG,urban,north,B,ccolorado
100_2023,Caso008,CERRO COLORADO,VIA DE EVITAMIENTO  KM 4.5,-71.57673781,-16.36800562,DOG,urban,north,B,ccolorado
57_2017,Caso006,CERRO COLORADO,VILLA MAJISTERIAL,-71.57386406,-16.32258209,DOG,periurban,north,B,ccolorado
149_2020,Caso021,CERRO COLORADO,NA,-71.57247195,-16.33255972,DOG,urban,north,B,ccolorado
31_2021,Caso012,CERRO COLORADO,ASOC. LAS FLORES,-71.56874178,-16.32985356,DOG,urban,north,B,ccolorado
297_2023,Caso022,CERRO COLORADO,Calle prolongaci√≥n progreso s/n - Atahualpa (al lado del club Lord Byron),-71.56769812,-16.39543776,DOG,urban,north,B,ccolorado
242_2019,Caso022,CERRO COLORADO,NA,-71.567024,-16.36934,DOG,urban,north,B,ccolorado
107_2018,Caso015,CERRO COLORADO,MARIO VARGAS LLOSA,-71.56632,-16.35346,DOG,urban,north,B,ccolorado
151_2024,Caso003,CERRO COLORADO,Las Gardenias,-71.56336805,-16.32043721,DOG,periurban,north,B,ccolorado
32_2016,3,CERRO COLORADO,CARLOS BACA FLOR,-71.56136748,-16.3301838,DOG,urban,north,B,ccolorado
40_2021,Caso015,CERRO COLORADO,PEDRO P DIAZ,-71.55359419,-16.31982398,DOG,periurban,north,B,ccolorado
22_2016,2,CERRO COLORADO,LOS ANGELES,-71.55127284,-16.30893296,DOG,periurban,north,B,ccolorado
166_2016,NA,CERRO COLORADO,JOSE MARIA ARGUEDAS,-71.55078345,-16.31433177,DOG,periurban,north,B,ccolorado
576_2016,NA,CERRO COLORADO,CERRILLOS,-71.55066935,-16.31380686,DOG,periurban,north,B,ccolorado
255_2019,Caso024,CERRO COLORADO,NA,-71.54994,-16.32037,DOG,periurban,north,B,ccolorado
462_2016,NA,CERRO COLORADO,NAZARENO 6TA ETAPA,-71.54865668,-16.3262841,DOG,urban,north,B,ccolorado
213_2021,Caso042,CERRO COLORADO,VILLA CERRILLOS,-71.54805501,-16.31464471,DOG,periurban,north,B,ccolorado
302_2017,Caso038,CERRO COLORADO,VILLA CERRILLOS,-71.54767145,-16.31407443,DOG,periurban,north,B,ccolorado
54_2024,Caso002,CERRO COLORADO,Villa Progreso,-71.54766915,-16.31042615,DOG,periurban,north,B,ccolorado
126_2021,Caso032,CERRO COLORADO,VILLA CERRILLOS,-71.54642208,-16.31336532,DOG,periurban,north,B,ccolorado
121_2019,Caso012,CERRO COLORADO,NA,-71.54525,-16.316534,CAT,periurban,north,B,ccolorado
495_2016,NA,CERRO COLORADO,JORGE CHAVEZ,-71.54519947,-16.3235226,DOG,periurban,north,B,ccolorado
89_2018,Caso012,CERRO COLORADO,JORGE CHAVEZ,-71.54373,-16.3241,DOG,periurban,north,B,ccolorado
259_2017,Caso032,CERRO COLORADO,JORGE CHAVEZ,-71.54346901,-16.32237075,DOG,periurban,north,B,ccolorado
247_2018,Caso027,CERRO COLORADO,NA,-71.54096,-16.314486,DOG,periurban,north,B,ccolorado
275_2017,Caso034,CERRO COLORADO,ABAD DE PIERRE,-71.54095899,-16.31601061,DOG,periurban,north,B,ccolorado
402_2017,Caso047,CERRO COLORADO,VIA DE EVITAMIENTO KM 6.5,-71.57979777,-16.35370915,DOG,urban,north,B,ccolorado
24_2019,Caso004,CERRO COLORADO,Calle Sosa Ruiz 909 -,-71.56320175,-16.37187602,DOG,urban,north,B,ccolorado
10_2021,Caso004,CERRO COLORADO,AV INSUSTRIAL,-71.58495258,-16.34979926,DOG,urban,north,B,ccolorado
146_2021,Caso034,CERRO COLORADO,VILLA  AVIACION,-71.594948,-16.328681,DOG,urban,north,B,ccolorado
15_2021,Caso008,CERRO COLORADO,GRANJEROS UNIDOS,-71.5972254,-16.31541743,DOG,periurban,north,B,ccolorado
246_2022,Caso030,CHARACATO,ASOC. GUSTAVO MOHOME LLOSA,-71.49214885,-16.479248,DOG,periurban,south,E,characato
286_2022,Caso035,CHARACATO,CALLE MOQUEGUA NRO 86-A LA HUAYLLA,-71.476934,-16.474685,DOG,periurban,south,E,characato
219_2022,Caso024,CHARACATO,YANAYACO,-71.45930038,-16.47372171,DOG,periurban,south,E,characato
158_2022,Caso017,HUNTER,TINGO GRANDE,-71.57648403,-16.45532977,DOG,periurban,south,D,hunter
2_2017,Caso001,HUNTER,NA,-71.56520284,-16.44510074,DOG,periurban,south,D,hunter
69_2022,Caso007,HUNTER,UPIS PAISAJISTA,-71.55672352,-16.46286521,DOG,periurban,south,D,hunter
173_2022,Caso020,HUNTER,AV. SAN MIGUEL,-71.554181,-16.448238,DOG,urban,south,D,hunter
162_2018,Caso022,JLBYR,CENTRO CANINO,-71.539085,-16.447126,DOG,urban,south,E,jlbyr
22_2018,Caso003,JLBYR,Av. Los incas s/n ,-71.52636,-16.414825,DOG,urban,south,E,jlbyr
92_2018,Caso013,JLBYR,DOLORES S/N DETRÁS DEL HOTEL,-71.52698,-16.414707,DOG,urban,south,E,jlbyr
93_2018,Caso014,JLBYR,PARQUE AL FRENTE DEL COLEGIO J. BASADRE,-71.526474,-16.4332,DOG,urban,south,E,jlbyr
348_2023,Caso026,JLBYR,Urbanizacion bancarios (canal IREN) ,-71.52991653,-16.41443555,DOG,urban,south,E,jlbyr
358_2023,Caso027,JLBYR,Parqueo IREN - JLByR,-71.53008754,-16.4148062,DOG,urban,south,E,jlbyr
312_2019,Caso032,JLBYR,NA,-71.5208509,-16.4420357,DOG,urban,south,E,jlbyr
468_2016,NA,JLBYR,BENIGNO BALLON FARFAN,-71.50911405,-16.44365555,DOG,urban,south,E,jlbyr
183_2023,Caso013,MARIANO MELGAR,AV JESUS 513,-71.51362591,-16.40791216,DOG,urban,south,G,mmelgar
367_2015,9,MARIANO MELGAR,SANTA ROSA,-71.50720846,-16.40813318,DOG,urban,south,G,mmelgar
696_2015,16,MARIANO MELGAR,SANTA ROSA,-71.50379518,-16.40288251,DOG,urban,south,G,mmelgar
273_2023,Caso020,MARIANO MELGAR,: Ampliaci√≥n ATALAYA mz Q - lote 2,-71.4966804,-16.39621416,DOG,periurban,south,G,mmelgar
560_2015,13,MARIANO MELGAR,PSJE SR. DE HUANCA MZ2 L6,-71.49618517,-16.40255789,DOG,urban,south,G,mmelgar
699_2015,17,MARIANO MELGAR,SENHOR DE LOS MILAGROS,-71.49571685,-16.39422949,DOG,periurban,south,G,mmelgar
704_2015,18,MARIANO MELGAR,PUEBLO LIBRE,-71.49390975,-16.39492615,DOG,periurban,south,G,mmelgar
653_2015,15,MARIANO MELGAR,PANAMA 347,-71.49329888,-16.40240654,DOG,urban,south,G,mmelgar
711_2015,19,MARIANO MELGAR,NUEVO MILENIO B7,-71.48548371,-16.39289249,DOG,periurban,south,G,mmelgar
609_2015,14,MARIANO MELGAR,NUEVO MILENIUM,-71.4839463,-16.3924328,DOG,periurban,south,G,mmelgar
41_2024,Caso001,MARIANO MELGAR,SAN GERONIMO,-71.48109962,-16.40224446,DOG,periurban,south,G,mmelgar
183_2019,Caso016,MARIANO MELGAR,NA,-71.47797,-16.396154,DOG,periurban,south,G,mmelgar
386_2016,,MARIANO MELGAR,PPJJ ARTURO VILLEGAS MZ A LT 5,-71.49612593,-16.40575491,DOG,urban,south,G,mmelgar
481_2016,,MARIANO MELGAR,CALLE ICA 508,-71.51231033,-16.40285378,DOG,urban,south,G,mmelgar
159_2017,Caso020,MARIANO MELGAR,AAHH MIRADOR MZ C LT 12,-71.4906797,-16.39438124,DOG,periurban,south,G,mmelgar
319_2017,Caso041,MARIANO MELGAR,HEROES DEL CENEPA ZN C W-6,-71.48023315,-16.39120303,DOG,periurban,south,G,mmelgar
375_2017,Caso046,MARIANO MELGAR,ASC LOS ROSALES MZ E LT 2,-71.49501346,-16.39657603,DOG,periurban,south,G,mmelgar
219_2024,Caso005,MIRAFLORES,Calle Jorge Polar 312,-71.516342,-16.391328,DOG,urban,south,F,miraflores
9_2019,Caso002,MIRAFLORES,NA,-71.507675,-16.393171,DOG,urban,south,F,miraflores
225_2019,Caso018,MIRAFLORES,NA,-71.50570585,-16.37430758,DOG,urban,south,F,miraflores
272_2019,Caso026,MIRAFLORES,NA,-71.50561413,-16.37646654,DOG,urban,south,F,miraflores
289_2019,Caso029,MIRAFLORES,NA,-71.5039008,-16.37467462,DOG,urban,south,F,miraflores
73_2015,2,MIRAFLORES,UPIS EL SALVADOR,-71.50150904,-16.37565627,DOG,urban,south,F,miraflores
40_2025,Caso002,MIRAFLORES,Galaxias,-71.49377435,-16.37627058,DOG,periurban,south,F,miraflores
69_2016,,MIRAFLORES,E. MISTI LA ALAMEDA CALLE 1,-71.51328883,-16.394621,DOG,urban,south,F,miraflores
103_2022,Caso010,MOLLEBAYA,ASOC HUERTO DEL EDEN,-71.5132039,-16.49196629,DOG,periurban,south,E,mollebaya
232_2023,Caso016,MOLLEBAYA,Amigos de San Miguel mz J lote 9 Alto Pajonal,-71.48877308,-16.51092123,DOG,periurban,south,E,mollebaya
435_2018,Caso045,PAUCARPATA,NA,-71.51325918,-16.41191557,DOG,urban,south,E,paucarpata
162_2024,Caso004,PAUCARPATA,Villa Maria el Triunfo,-71.51037962,-16.4198272,DOG,urban,south,E,paucarpata
175_2023,Caso012,PAUCARPATA,Calle Bolivar s/n,-71.502463,-16.43881,DOG,periurban,south,E,paucarpata
42_2020,Caso006,PAUCARPATA,NA,-71.49382107,-16.42870613,DOG,urban,south,E,paucarpata
485_2016,,SACHACA,IRRIGAC HUARANGUILLO N° 1,-71.57997204,-16.40529089,DOG,urban,north,D,sachaca
270_2023,Caso019,SOCABAYA,URB SAN FRANCISCO SAN PABLO D_8,-71.54076937,-16.45790892,DOG,periurban,south,D,socabaya
46_2017,Caso005,SOCABAYA,SAN FERNANDO ASERMUL D 11,-71.52299188,-16.46897646,DOG,urban,south,D,socabaya
225_2023,Caso015,SOCABAYA,PAMPAS VIEJAS S/N,-71.54827689,-16.45473472,DOG,periurban,south,D,socabaya
240_2023,Caso017,SOCABAYA,LA MANSION II  M_6,-71.54889088,-16.46762652,DOG,urban,south,D,socabaya
571_2016,,UCHUMAYO,,-71.67049146,-16.42404763,DOG,periurban,north,D,uchumayo
97_2017,Caso012,UCHUMAYO,PUEBLO LIBRE VARIANTE DE UCHUMAYO LADO DE PICANTERIA MARILU,-71.66310493,-16.42489961,DOG,periurban,north,D,uchumayo
16_2021,Caso007,YURA,CIUDAD DE DIOS,-71.65079812,-16.30894284,DOG,periurban,north,C,yura
321_2023,Caso024,YURA,Asociaci√≥n Bellavista - Las Ardillas Zona 1 J -9,-71.64627,-16.309694,DOG,periurban,north,C,yura
147_2022,Caso015,YURA,LAS PERLAS,-71.64023135,-16.28942697,DOG,periurban,north,C,yura
225_2017,Caso029,YURA,RESIDENTES PUNO,-71.63782737,-16.3095575,DOG,periurban,north,C,yura
25_2020,Caso003,YURA,NA,-71.63416176,-16.30158003,DOG,periurban,north,C,yura
56_2021,Caso017,CERRO COLORADO,PROFAN 1RA ETAPA,-71.63340684,-16.311133,DOG,periurban,north,C,yura
30_2023,Caso003,YURA,CIUDAD DE DIOS PROFAM MZ 3 LT 3,-71.62962094,-16.31970472,DOG,periurban,north,C,yura
209_2018,Caso025,YURA,NA,-71.6272,-16.307352,DOG,periurban,north,C,yura
374_2018,Caso037,YURA,CIUDAD DE DIOS,-71.627045,-16.293726,DOG,periurban,north,C,yura
152_2023,Caso009,YURA,ASOCIACION DE VIVIENDASEL ALTIPLANO MZF LT 4,-71.62690187,-16.30825707,DOG,periurban,north,C,yura
244_2019,Caso023,YURA,NA,-71.62578761,-16.29681517,DOG,urban,north,C,yura
236_2019,Caso020,YURA,NA,-71.62386,-16.328714,DOG,periurban,north,C,yura
227_2019,Caso019,YURA,NA,-71.6234298,-16.32870047,DOG,periurban,north,C,yura
30_2021,Caso013,YURA,COMITE 7,-71.6234,-16.293974,DOG,periurban,north,C,yura
375_2018,Caso038,YURA,CIUDAD DE DIOS,-71.6183252,-16.30910151,DOG,urban,north,C,yura
47_2019,Caso006,YURA,NA,-71.61698,-16.3038,DOG,urban,north,C,yura
140_2020,Caso017,YURA,NA,-71.61608093,-16.30290222,DOG,urban,north,C,yura
41_2020,Caso005,YURA,NA,-71.60915384,-16.3177206,DOG,periurban,north,C,yura
90_2021,Caso024,YURA,ASOC. CAMINEROS EMPLEADOS,-71.60477884,-16.3124546,DOG,urban,north,C,yura
291_2016,,YURA,KM 14 CMTE 7 MZ K LT4 C. DE DIOS,-71.61092203,-16.31103879,DOG,urban,north,C,yura
320_2019,Caso035,YURA,AVIS ALTIPLANO KM 16 ZN A SEC 1 MZ B LT 4,-71.63004626,-16.29985957,DOG,periurban,north,C,yura
10_2020,Caso001,YURA,J. A QUIÑONES SECTOR VILLA QUIÑONES KM 14 MZ 38 LT 3 ZN 1 1RA ETAPA,-71.62229,-16.31943,DOG,periurban,north,C,yura
29_2021,Caso011,YURA,ALTIPLANO,-71.627144,-16.307125,DOG,periurban,north,C,yura
