"Longitude","Latitude","region","province","district","capital"
-72.2962558572597,-16.3527124060063,"AREQUIPA","CAYLLOMA","MAJES","EL PEDREGAL"
-73.010863018554,-16.2779545660499,"AREQUIPA","CAMANA","OCOÑA","OCOÑA"
-71.6062596511636,-16.1309360896385,"AREQUIPA","AREQUIPA","YURA","YURA"
-71.0970290199621,-16.193762162929,"AREQUIPA","AREQUIPA","SAN JUAN DE TARUCANI","TARUCANI"
-71.8279360946918,-16.0064165531236,"AREQUIPA","CAYLLOMA","HUANCA","HUANCA"
-73.1361295212198,-16.0782398625696,"AREQUIPA","CAMANA","MARIANO NICOLAS VALCARCEL","URASQUI"
-72.3681810687484,-16.0123667798219,"AREQUIPA","CASTILLA","HUANCARQUI","HUANCARQUI"
-72.6005653043362,-15.9130067810362,"AREQUIPA","CONDESUYOS","IRAY","IRAY"
-72.5681568551077,-16.0272060903501,"AREQUIPA","CASTILLA","APLAO","APLAO"
-73.5383689245361,-16.0530024056957,"AREQUIPA","CARAVELI","ATICO","ATICO"
-72.0183877484394,-15.9675989323119,"AREQUIPA","CAYLLOMA","LLUTA","LLUTA"
-72.499683460164,-15.7507632600768,"AREQUIPA","CASTILLA","TIPAN","TIPAN"
-73.3318448403207,-15.829134548673,"AREQUIPA","CARAVELI","CARAVELI","CARAVELI"
-73.1265878679833,-15.8808595255462,"AREQUIPA","CONDESUYOS","RIO GRANDE","IQUIPI"
-74.1897330694228,-15.7694941611412,"AREQUIPA","CARAVELI","CHALA","CHALA"
-71.6958554051572,-15.82211259574,"AREQUIPA","CAYLLOMA","ACHOMA","ACHOMA"
-72.3831489510543,-15.757082201727,"AREQUIPA","CASTILLA","UÑON","UÑON"
-71.7972720238101,-15.7312895695441,"AREQUIPA","CAYLLOMA","MACA","MACA"
-71.4552810417298,-15.7900987918756,"AREQUIPA","CAYLLOMA","YANQUE","YANQUE"
-72.7208394888357,-16.0431492030859,"AREQUIPA","CONDESUYOS","CHUQUIBAMBA","CHUQUIBAMBA"
-72.16046404256,-15.7962323007196,"AREQUIPA","CAYLLOMA","HUAMBO","HUAMBO"
-71.9594155295215,-15.6746394681828,"AREQUIPA","CAYLLOMA","CABANACONDE","CABANACONDE"
-71.0974556225242,-15.8309147463564,"AREQUIPA","CAYLLOMA","SAN ANTONIO DE CHUCA","SAN ANTONIO DE CHUCA /3"
-73.9451442903207,-15.8248150532783,"AREQUIPA","CARAVELI","CHAPARRA","ACHANIZO"
-72.6190859551018,-15.6707617022761,"AREQUIPA","CASTILLA","PAMPACOLCA","PAMPACOLCA"
-72.5669079206419,-15.6163671766132,"AREQUIPA","CASTILLA","VIRACO","VIRACO"
-72.843803510836,-15.8524604636644,"AREQUIPA","CONDESUYOS","ANDARAY","ANDARAY"
-72.2850801488518,-15.6409504021842,"AREQUIPA","CASTILLA","AYO","AYO"
-71.5501375125332,-15.6400789417234,"AREQUIPA","CAYLLOMA","CHIVAY","CHIVAY"
-71.6412314848105,-15.5913288104278,"AREQUIPA","CAYLLOMA","COPORAQUE","COPORAQUE"
-73.0291342997113,-15.7019759697998,"AREQUIPA","CONDESUYOS","YANAQUIHUA","YANAQUIHUA"
-71.7053090225051,-15.5861840075024,"AREQUIPA","CAYLLOMA","ICHUPAMPA","ICHUPAMPA"
-74.4287553066286,-15.6335196088925,"AREQUIPA","CARAVELI","YAUCA","YAUCA"
-72.4717611922112,-15.6011214308789,"AREQUIPA","CASTILLA","MACHAGUAY","MACHAGUAY"
-74.3036406548577,-15.6891600973904,"AREQUIPA","CARAVELI","ATIQUIPA","ATIQUIPA"
-71.8574452780755,-15.5413344526629,"AREQUIPA","CAYLLOMA","MADRIGAL","MADRIGAL"
-72.9457119808231,-15.5344938085748,"AREQUIPA","CONDESUYOS","CHICHAS","CHICHAS"
-74.0628118275866,-15.5557424108475,"AREQUIPA","CARAVELI","HUANUHUANU","TOCOTA"
-71.5976145686683,-15.4830628259619,"AREQUIPA","CAYLLOMA","TUTI","TUTI"
-72.3768234985921,-15.4850430497126,"AREQUIPA","CASTILLA","ANDAGUA","ANDAGUA"
-73.4317538412195,-15.5406416739498,"AREQUIPA","CARAVELI","CAHUACHO","CAHUACHO"
-71.7604439499654,-15.4799281650599,"AREQUIPA","CAYLLOMA","LARI","LARI"
-73.7304296105457,-15.5673059031056,"AREQUIPA","CARAVELI","QUICACHA","QUICACHA"
-72.5471514008854,-14.9389038690654,"AREQUIPA","LA UNION","PUYCA","PUYCA"
-72.7614422934835,-14.8748760978326,"AREQUIPA","LA UNION","HUAYNACOTAS","TAURISMA"
-72.2888406623042,-15.0146069014978,"AREQUIPA","CONDESUYOS","CAYARANI","CAYARANI"
-72.3852776370962,-15.3506115936696,"AREQUIPA","CASTILLA","CHILCAYMARCA","CHILCAYMARCA"
-71.2485152896412,-15.5211403780309,"AREQUIPA","CAYLLOMA","CALLALLI","CALLALLI"
-71.9359894567052,-15.4267943575098,"AREQUIPA","CAYLLOMA","TAPAY","TAPAY"
-72.2484312064279,-15.1160307876565,"AREQUIPA","CASTILLA","ORCOPAMPA","ORCOPAMPA"
-72.1160693554031,-15.1820186517764,"AREQUIPA","CASTILLA","CHACHAS","CHACHAS"
-71.7966872067212,-15.1516054986989,"AREQUIPA","CAYLLOMA","CAYLLOMA","CAYLLOMA"
-72.9302144755969,-14.9895075416493,"AREQUIPA","LA UNION","PAMPAMARCA","MUNGUI"
-73.172643124347,-15.4042023775539,"AREQUIPA","LA UNION","TAURIA","TAURIA"
-74.3981587529616,-15.4490876654352,"AREQUIPA","CARAVELI","JAQUI","JAQUI"
-73.2453307506643,-15.3249815693237,"AREQUIPA","LA UNION","SAYLA","SAYLA"
-73.0704232697995,-15.2898122802397,"AREQUIPA","LA UNION","QUECHUALLA","VELINGA"
-73.0160762015216,-15.4047391058575,"AREQUIPA","LA UNION","TORO","TORO"
-72.6974193074922,-15.4061453050305,"AREQUIPA","CONDESUYOS","SALAMANCA","SALAMANCA"
-72.8614620918253,-15.2763052921691,"AREQUIPA","LA UNION","COTAHUASI","COTAHUASI"
-71.5459924288222,-15.3617189089522,"AREQUIPA","CAYLLOMA","SIBAYO","SIBAYO"
-74.9351453797054,-15.3867292549087,"AREQUIPA","CARAVELI","LOMAS","LOMAS"
-72.7853075009815,-15.2132688351821,"AREQUIPA","LA UNION","TOMEPAMPA","TOMEPAMPA"
-72.0686806923104,-15.4140554276502,"AREQUIPA","CASTILLA","CHOCO","CHOCO"
-73.0487820694724,-15.2108689276536,"AREQUIPA","LA UNION","CHARCANA","CHARCANA"
-72.7118760922556,-15.1674801744148,"AREQUIPA","LA UNION","ALCA","ALCA"
-71.3922601882737,-15.2126738238692,"AREQUIPA","CAYLLOMA","TISCO","TISCO"
-74.5582366650509,-15.341597355104,"AREQUIPA","CARAVELI","ACARI","ACARI"
-74.7616112207505,-15.3753353463359,"AREQUIPA","CARAVELI","BELLA UNION","BELLA UNION"
