primary_accession	country	length	EPA_major_clade	host		
AY192378	Colombia	258	Cosmopolitan	Canis familiaris		
AY192377	Colombia	258	Cosmopolitan	Canis familiaris		
AY192375	Colombia	258	Cosmopolitan	Canis familiaris		
AY192374	Colombia	258	Cosmopolitan	Canis familiaris		
AY192373	Colombia	258	Cosmopolitan	Canis familiaris		
AY192372	Colombia	258	Cosmopolitan	Canis familiaris		
AY192371	Colombia	258	Cosmopolitan	Canis familiaris		
AY192415	Colombia	258	Cosmopolitan	Canis familiaris		
AY192413	Colombia	258	Cosmopolitan	Canis familiaris		
AY192412	Colombia	258	Cosmopolitan	Canis familiaris		
AY192411	Colombia	258	Cosmopolitan	Canis familiaris		
AY192410	Colombia	258	Cosmopolitan	Canis familiaris		
AY192409	Colombia	258	Cosmopolitan	Canis familiaris		
AY192408	Colombia	258	Cosmopolitan	Canis familiaris		
AY192406	Colombia	258	Cosmopolitan	Canis familiaris		
AY192405	Colombia	258	Cosmopolitan	Canis familiaris		
AY192404	Colombia	258	Cosmopolitan	Canis familiaris		
AY192403	Colombia	258	Cosmopolitan	Canis familiaris		
AY192402	Colombia	258	Cosmopolitan	Homo sapiens		
AY192401	Colombia	258	Cosmopolitan	Canis familiaris		
AY192400	Colombia	258	Cosmopolitan	Homo sapiens		
AY192399	Colombia	258	Cosmopolitan	Homo sapiens		
AF276903	Colombia	258	Cosmopolitan	Homo sapiens		
AF271113	Colombia	258	Cosmopolitan	Canis familiaris		
AF271112	Colombia	258	Cosmopolitan	Canis familiaris		
AF271111	Colombia	258	Cosmopolitan	Canis familiaris		
AF271109	Colombia	258	Cosmopolitan	Canis familiaris		
MT872395	Colombia	263	Cosmopolitan	dog		
EU530729	Peru	264	Cosmopolitan	Vulpes vulpes		
EU530728	Peru	264	Cosmopolitan	Capra hircus		
EU530727	Peru	264	Cosmopolitan	Canis familiaris		
EU530726	Peru	264	Cosmopolitan	donkey		
EU530725	Peru	264	Cosmopolitan	Homo sapiens		
EU530723	Peru	264	Cosmopolitan	Felis catus		
EU530722	Peru	264	Cosmopolitan	Canis familiaris		
EU530721	Peru	264	Cosmopolitan	Canis familiaris		
EU530720	Peru	264	Cosmopolitan	Canis familiaris		
EU530719	Peru	264	Cosmopolitan	Canis familiaris		
EU530718	Peru	264	Cosmopolitan	Canis familiaris		
EU530717	Peru	264	Cosmopolitan	llama		
EU530716	Peru	264	Cosmopolitan	Canis familiaris		
EU530715	Peru	264	Cosmopolitan	Canis familiaris		
EU530714	Peru	264	Cosmopolitan	Canis familiaris		
EU530713	Peru	264	Cosmopolitan	Bos taurus		
EU530712	Peru	264	Cosmopolitan	Bos taurus		
EU530711	Peru	264	Cosmopolitan	Canis familiaris		
EU530710	Peru	264	Cosmopolitan	Canis familiaris		
EU530709	Peru	264	Cosmopolitan	Canis familiaris		
EU530708	Peru	264	Cosmopolitan	Canis familiaris		
EU530707	Peru	264	Cosmopolitan	Homo sapiens		
EU530706	Peru	264	Cosmopolitan	Canis familiaris		
EU530705	Peru	264	Cosmopolitan	Canis familiaris		
EU530704	Peru	264	Cosmopolitan	Homo sapiens		
EU530703	Peru	264	Cosmopolitan	Sus scrofa		
EU530702	Peru	264	Cosmopolitan	Sus scrofa		
EU530701	Peru	264	Cosmopolitan	Canis familiaris		
EU530700	Peru	264	Cosmopolitan	Canis familiaris		
EU530699	Peru	264	Cosmopolitan	Canis familiaris		
EU530698	Peru	264	Cosmopolitan	Canis familiaris		
FJ228687	Mexico	264	Cosmopolitan	skunk		
FJ228675	El Salvador	264	Cosmopolitan	Homo sapiens		
EF377695	Colombia	264	Cosmopolitan	Bos taurus		
EF377694	Colombia	264	Cosmopolitan	Felis catus		
EF377693	Colombia	264	Cosmopolitan	Bos taurus		
EF377692	Colombia	264	Cosmopolitan	Vulpes vulpes		
EF377691	Colombia	264	Cosmopolitan	Canis familiaris		
EF377690	Colombia	264	Cosmopolitan	Bos taurus		
EF377689	Colombia	264	Cosmopolitan	Canis familiaris		
EF377688	Colombia	264	Cosmopolitan	Bos taurus		
EF377687	Colombia	264	Cosmopolitan	Canis familiaris		
EF377685	Colombia	264	Cosmopolitan	Canis familiaris		
EF377684	Colombia	264	Cosmopolitan	Canis familiaris		
EF377683	Colombia	264	Cosmopolitan	Canis familiaris		
EF377682	Colombia	264	Cosmopolitan	Canis familiaris		
EF377681	Colombia	264	Cosmopolitan	Canis familiaris		
EF377680	Colombia	264	Cosmopolitan	Bos taurus		
EF377679	Colombia	264	Cosmopolitan	Homo sapiens		
EF377673	Colombia	264	Cosmopolitan	Bos taurus		
EF377672	Colombia	264	Cosmopolitan	Canis familiaris		
EF377670	Colombia	264	Cosmopolitan	Canis familiaris		
EF377655	Colombia	264	Cosmopolitan	Bos taurus		
EF377654	Colombia	264	Cosmopolitan	Bos taurus		
EF377653	Colombia	264	Cosmopolitan	Canis familiaris		
EF377652	Colombia	264	Cosmopolitan	Bos taurus		
EF377651	Colombia	264	Cosmopolitan	Sus scrofa		
EF377650	Colombia	264	Cosmopolitan	Canis familiaris		
EF377649	Colombia	264	Cosmopolitan	Bos taurus		
EF377648	Colombia	264	Cosmopolitan	Canis familiaris		
EF377647	Colombia	264	Cosmopolitan	Equus caballus		
EF377646	Colombia	264	Cosmopolitan	Canis familiaris		
EF377645	Colombia	264	Cosmopolitan	Capra hircus		
EF377644	Colombia	264	Cosmopolitan	Canis familiaris		
EF377643	Colombia	264	Cosmopolitan	Canis familiaris		
EF377642	Colombia	264	Cosmopolitan	Canis familiaris		
EF377641	Colombia	264	Cosmopolitan	Canis familiaris		
EF377640	Colombia	264	Cosmopolitan	Canis familiaris		
EF377639	Colombia	264	Cosmopolitan	Canis familiaris		
EF377638	Colombia	264	Cosmopolitan	Canis familiaris		
EF377637	Colombia	264	Cosmopolitan	Homo sapiens		
EF377636	Colombia	264	Cosmopolitan	Equus caballus		
EF377635	Colombia	264	Cosmopolitan	Bos taurus		
EF377634	Colombia	264	Cosmopolitan	Homo sapiens		
EF377633	Colombia	264	Cosmopolitan	Homo sapiens		
EF377632	Colombia	264	Cosmopolitan	Vulpes vulpes		
EF377631	Colombia	264	Cosmopolitan	Canis familiaris		
EF377630	Colombia	264	Cosmopolitan	Canis familiaris		
EF377629	Colombia	264	Cosmopolitan	Canis familiaris		
EF377628	Colombia	264	Cosmopolitan	Canis familiaris		
EF377627	Colombia	264	Cosmopolitan	Canis familiaris		
EF377626	Colombia	264	Cosmopolitan	Equus caballus		
EF377625	Colombia	264	Cosmopolitan	Canis familiaris		
EF377624	Colombia	264	Cosmopolitan	Vulpes vulpes		
EF377623	Colombia	264	Cosmopolitan	Vulpes vulpes		
EF377622	Colombia	264	Cosmopolitan	Canis familiaris		
EF377621	Colombia	264	Cosmopolitan	Vulpes vulpes		
EF377620	Colombia	264	Cosmopolitan	Vulpes vulpes		
EF377619	Colombia	264	Cosmopolitan	Homo sapiens		
EF377618	Colombia	264	Cosmopolitan	Canis familiaris		
EF377617	Colombia	264	Cosmopolitan	Canis familiaris		
EF377616	Colombia	264	Cosmopolitan	Felis catus		
EF377615	Colombia	264	Cosmopolitan	Canis familiaris		
EF377614	Colombia	264	Cosmopolitan	Vulpes vulpes		
EF377613	Colombia	264	Cosmopolitan	Homo sapiens		
EF377612	Colombia	264	Cosmopolitan	Homo sapiens		
EF377611	Colombia	264	Cosmopolitan	Vulpes vulpes		
EF377610	Colombia	264	Cosmopolitan	Canis familiaris		
EF377609	Colombia	264	Cosmopolitan	Vulpes vulpes		
EF377608	Colombia	264	Cosmopolitan	Canis familiaris		
EF377607	Colombia	264	Cosmopolitan	Canis familiaris		
EF377606	Colombia	264	Cosmopolitan	Felis catus		
EF377605	Colombia	264	Cosmopolitan	Vulpes vulpes		
EF377604	Colombia	264	Cosmopolitan	Canis familiaris		
EF377603	Colombia	264	Cosmopolitan	Canis familiaris		
EF377602	Colombia	264	Cosmopolitan	Vulpes vulpes		
EF377601	Colombia	264	Cosmopolitan	Canis familiaris		
EF377600	Colombia	264	Cosmopolitan	Vulpes vulpes		
EF377599	Colombia	264	Cosmopolitan	Canis familiaris		
EF377598	Colombia	264	Cosmopolitan	Canis familiaris		
EF377597	Colombia	264	Cosmopolitan	Vulpes vulpes		
EF377596	Colombia	264	Cosmopolitan	Canis familiaris		
EF377595	Colombia	264	Cosmopolitan	Canis familiaris		
EF377594	Colombia	264	Cosmopolitan	Vulpes vulpes		
EF377593	Colombia	264	Cosmopolitan	Felis catus		
EF377592	Colombia	264	Cosmopolitan	Canis familiaris		
EF377591	Colombia	264	Cosmopolitan	Homo sapiens		
EF377590	Colombia	264	Cosmopolitan	Canis familiaris		
EF377589	Colombia	264	Cosmopolitan	Canis familiaris		
EF377588	Colombia	264	Cosmopolitan	Canis familiaris		
EF377587	Colombia	264	Cosmopolitan	Canis familiaris		
EF377586	Colombia	264	Cosmopolitan	Felis catus		
EF377585	Colombia	264	Cosmopolitan	Homo sapiens		
EF377584	Colombia	264	Cosmopolitan	Vulpes vulpes		
EF377583	Colombia	264	Cosmopolitan	Vulpes vulpes		
MT872392	Colombia	264	Cosmopolitan	fox		
MT872391	Colombia	264	Cosmopolitan	dog		
MT872390	Colombia	264	Cosmopolitan	swine		
MT872383	Colombia	264	Cosmopolitan	fox		
MT872379	Colombia	264	Cosmopolitan	dog		
AY561806	Mexico	267	Cosmopolitan	Mephitis mephitis		
AY561794	Mexico	267	Cosmopolitan	Canis familiaris		
AY561822	Mexico	267	Cosmopolitan	Mephitidae		
AY561821	Mexico	267	Cosmopolitan			
AY561820	Mexico	267	Cosmopolitan	Dasyprocta		
AY561819	Mexico	267	Cosmopolitan	Dasyprocta		
AY561818	Mexico	267	Cosmopolitan	Cervidae		
AY561817	Mexico	267	RAC-SK			
AY561816	Mexico	267	RAC-SK			
AY561815	Mexico	267	RAC-SK			
AY561814	Mexico	267	RAC-SK			
AY561813	Mexico	267	RAC-SK			
AY561812	Mexico	267	RAC-SK			
AY561811	Mexico	267	RAC-SK			
AY561810	Mexico	267	RAC-SK			
AY561809	Mexico	267	Cosmopolitan	Bos taurus		
AY561808	Mexico	267	Cosmopolitan	Mephitidae		
AY561807	Mexico	267	Cosmopolitan	Mephitidae		
AY561805	Mexico	267	Cosmopolitan	Mephitis mephitis		
AY561804	Mexico	267	Cosmopolitan	Mephitis mephitis		
AY561803	Mexico	267	Cosmopolitan	Lynx rufus		
AY561802	Mexico	267	Cosmopolitan	Puma Concolor		
AY561801	Mexico	267	Cosmopolitan	Urocyon cinereoargenteus		
AY561800	Mexico	267	Cosmopolitan	Lynx rufus		
AY561799	Mexico	267	Cosmopolitan	Urocyon cinereoargenteus		
AY561798	Mexico	267	Cosmopolitan	Urocyon cinereoargenteus		
AY561797	Mexico	267	Cosmopolitan	Sus scrofa		
AY561796	Mexico	267	Cosmopolitan	Canis familiaris		
AY561795	Mexico	267	Cosmopolitan	Canis familiaris		
AY561793	Mexico	267	Cosmopolitan	Canis familiaris		
AY561792	Mexico	267	Cosmopolitan	Canis familiaris		
AY561791	Mexico	267	Cosmopolitan	Canis familiaris		
AY561790	Mexico	267	Cosmopolitan	Canis familiaris		
AY561789	Mexico	267	Cosmopolitan	Canis familiaris		
AY561788	Mexico	267	Cosmopolitan	Canis familiaris		
AY561787	Mexico	267	Cosmopolitan	Canis familiaris		
AY561786	Mexico	267	Cosmopolitan	Canis familiaris		
AY561785	Mexico	267	Cosmopolitan	Canis familiaris		
AY561784	Mexico	267	Cosmopolitan	Canis familiaris		
AY561783	Mexico	267	Cosmopolitan	Canis familiaris		
AY561782	Mexico	267	Cosmopolitan	Canis familiaris		
AY561781	Mexico	267	Cosmopolitan	Canis familiaris		
AY561780	Mexico	267	Cosmopolitan	Canis familiaris		
AY561779	Mexico	267	Cosmopolitan	Canis familiaris		
AY561778	Mexico	267	Cosmopolitan	Canis familiaris		
AY561777	Mexico	267	Cosmopolitan	Canis familiaris		
AY561776	Mexico	267	Cosmopolitan	Canis familiaris		
AY561775	Mexico	267	Cosmopolitan	Canis familiaris		
AY561774	Mexico	267	Cosmopolitan	Canis familiaris		
AY561773	Mexico	267	Cosmopolitan	Canis familiaris		
AY561772	Mexico	267	Cosmopolitan	Canis familiaris		
AY561771	Mexico	267	Cosmopolitan	Canis familiaris		
AY561770	Mexico	267	Cosmopolitan	Canis familiaris		
AY561769	Mexico	267	Cosmopolitan	Felis catus		
AY561768	Mexico	267	Cosmopolitan	Canis familiaris		
AY561767	Mexico	267	Cosmopolitan	Canis familiaris		
AY561766	Mexico	267	Cosmopolitan	Canis familiaris		
AY561765	Mexico	267	Cosmopolitan	Bos taurus		
AY561764	Mexico	267	Cosmopolitan	Canis latrans		
AY561763	Mexico	267	Cosmopolitan	Felis catus		
AY561762	Mexico	267	Cosmopolitan	Felis catus		
GU646853	Brazil	319	Cosmopolitan	Felis catus		
GU646833	Brazil	319	Cosmopolitan	Bos taurus		
DQ447968	Brazil	320	Cosmopolitan	Homo sapiens		
DQ447967	Brazil	320	Cosmopolitan	Homo sapiens		
DQ447966	Brazil	320	Cosmopolitan	Homo sapiens		
DQ447965	Brazil	320	Cosmopolitan	Homo sapiens		
DQ447964	Brazil	320	Cosmopolitan	Homo sapiens		
DQ447963	Brazil	320	Cosmopolitan	Homo sapiens		
DQ447962	Brazil	320	Cosmopolitan	Homo sapiens		
DQ447959	Brazil	320	Cosmopolitan	P. cancrivorous		
DQ447958	Brazil	320	Cosmopolitan	C. thous		
DQ447957	Brazil	320	Cosmopolitan	C. thous		
DQ447956	Brazil	320	Cosmopolitan	C. thous		
DQ447955	Brazil	320	Cosmopolitan	Canis familiaris		
DQ447954	Brazil	320	Cosmopolitan	Homo sapiens		
DQ447951	Brazil	320	Cosmopolitan	C. thous		
DQ447950	Brazil	320	Cosmopolitan	Canis familiaris		
DQ447949	Brazil	320	Cosmopolitan	Homo sapiens		
DQ447948	Brazil	320	Cosmopolitan	C. thous		
DQ447947	Brazil	320	Cosmopolitan	Homo sapiens		
AY233425	Argentina	320	Cosmopolitan	Felis catus		
AY233424	Argentina	320	Cosmopolitan	Canis familiaris		
AY233423	Argentina	320	Cosmopolitan	Canis familiaris		
AY233422	Argentina	320	Cosmopolitan	Canis familiaris		
AY233421	Argentina	320	Cosmopolitan	Felis catus		
AY233420	Argentina	320	Cosmopolitan	Canis familiaris		
AY233419	Argentina	320	Cosmopolitan	Canis familiaris		
AY233418	Argentina	320	Cosmopolitan	Canis familiaris		
AY233417	Argentina	320	Cosmopolitan	Canis familiaris		
AY233416	Argentina	320	Cosmopolitan	Canis familiaris		
AY233415	Argentina	320	Cosmopolitan	Felis catus		
AY233414	Argentina	320	Cosmopolitan	Canis familiaris		
AY233413	Argentina	320	Cosmopolitan	Canis familiaris		
AY233412	Argentina	320	Cosmopolitan	Felis catus		
AY233411	Argentina	320	Cosmopolitan	Canis familiaris		
AY233410	Argentina	320	Cosmopolitan	Canis familiaris		
AY233409	Argentina	320	Cosmopolitan	Canis familiaris		
AY233408	Argentina	320	Cosmopolitan	Canis familiaris		
AY233407	Argentina	320		Canis familiaris		
AY233406	Argentina	320		Vulpes vulpes		
AY233405	Argentina	320		Canis familiaris		
AY233404	Argentina	320		Canis familiaris		
AY233403	Argentina	320	Cosmopolitan	Canis familiaris		
AY233402	Argentina	320	Cosmopolitan	Canis familiaris		
AY233401	Argentina	320	Cosmopolitan	Canis familiaris		
AY233400	Argentina	320		Canis familiaris		
AY233399	Argentina	320		Canis familiaris		
AY233398	Argentina	320		Canis familiaris		
JN106463	Brazil	320	Cosmopolitan	Canis familiaris		
JN106462	Brazil	320	Cosmopolitan	Canis familiaris		
JN106461	Brazil	320	Cosmopolitan	Canis familiaris		
KU312297	Paraguay	320		Canis lupus familiaris		
KU312296	Paraguay	320		Canis lupus familiaris		
KU312295	Paraguay	320		Canis lupus familiaris		
KU312294	Paraguay	320		Canis lupus familiaris		
KU312293	Paraguay	320		Canis lupus familiaris		
KU312292	Paraguay	320		Canis lupus familiaris		
KU312291	Paraguay	320		Canis lupus familiaris		
KU312290	Paraguay	320		Canis lupus familiaris		
KU312289	Paraguay	320		Canis lupus familiaris		
KU312288	Paraguay	320		Canis lupus familiaris		
KU312287	Paraguay	320		Canis lupus familiaris		
KU312286	Paraguay	320		Canis lupus familiaris		
KU312285	Paraguay	320		Canis lupus familiaris		
JX217812	Brazil	320	Cosmopolitan	Homo sapiens		
JX217809	Brazil	320	Cosmopolitan	Homo sapiens		
JX217806	Brazil	320	Cosmopolitan	Homo sapiens		
JX217804	Brazil	320	Cosmopolitan	Homo sapiens		
JX217803	Brazil	320	Cosmopolitan	Homo sapiens		
JX217802	Brazil	320	Cosmopolitan	Homo sapiens		
JX217801	Brazil	320	Cosmopolitan	Homo sapiens		
JX217799	Brazil	320	Cosmopolitan	Homo sapiens		
JX217797	Brazil	320	Cosmopolitan	Homo sapiens		
JX217795	Brazil	320	Cosmopolitan	Homo sapiens		
JX217794	Brazil	320	Cosmopolitan	Homo sapiens		
JX217793	Brazil	320	Cosmopolitan	Homo sapiens		
JX217792	Brazil	320	Cosmopolitan	Homo sapiens		
JX217791	Brazil	320	Cosmopolitan	Homo sapiens		
JX217790	Brazil	320	Cosmopolitan	Homo sapiens		
JX217789	Brazil	320	Cosmopolitan	Homo sapiens		
JX217788	Brazil	320	Cosmopolitan	Homo sapiens		
JX217787	Brazil	320	Cosmopolitan	Homo sapiens		
JX217784	Brazil	320	Cosmopolitan	Homo sapiens		
JX217782	Brazil	320	Cosmopolitan	Homo sapiens		
JX217781	Brazil	320	Cosmopolitan	Homo sapiens		
JX217780	Brazil	320	Cosmopolitan	Homo sapiens		
JX217779	Brazil	320	Cosmopolitan	Homo sapiens		
AY340786	Bolivia	320	Cosmopolitan	Homo sapiens		
AY340785	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340784	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340781	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340780	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340779	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340778	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340777	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340776	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340775	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340774	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340773	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340772	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340770	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340769	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340768	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340767	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340766	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340765	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340764	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340763	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340762	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340761	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340760	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340759	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340758	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340757	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340756	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340755	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340754	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340753	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340752	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340751	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340750	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340749	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340748	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340747	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340746	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340745	Bolivia	320	Cosmopolitan	Sus scrofa		
AY340744	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340743	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340742	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340741	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340740	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340739	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340738	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340737	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340736	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340735	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340734	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340733	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340732	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340731	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340730	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340729	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340728	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340727	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340726	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340725	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340724	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340723	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340722	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340721	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340720	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340719	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340718	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340717	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340716	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340715	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340714	Bolivia	320	Cosmopolitan	Bos taurus		
AY340713	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340712	Bolivia	320	Cosmopolitan	Felis catus		
AY340711	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340710	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340709	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340708	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340707	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340706	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340705	Bolivia	320	Cosmopolitan	Canis familiaris		
AY340704	Bolivia	320	Cosmopolitan	Canis familiaris		
